	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts	views	replies	topic
14	25.11.2016, 14:30	Member	Thanked 75 Times in 52 Posts	Location: Nyon	" 
			
			I was there a few days ago for dinner.    
It's really good farm to table style french cuisine. Sort of what you'd get in taverns and bistros in paris.    
Heading back tonight. The food has a lovely homemade taste to it and when it's gone, it's gone. I wouldn't know where else to go in Zurich for this.    
Oh and I had the tiramisu shot for dessert - perfect in taste and size    
The prices are also reasonable. They were less than Zurich prices at the opening night when I went.
		"	earned some respect	Join Date: Oct 2014	Groaned at 4 Times in 3 Posts	(Zurich Brunau, Other, Fork and Bottle, Allmendstrasse 20, 8002) Pop up restaurant | 02.12.2016 17:30 - 18.12.2016 23:00	"""bowlie"	Posts: 165	1,051	6	Commercial events
15	06.12.2016, 10:00	Forum Legend	Thanked 12,426 Times in 5,065 Posts	Location: Baselland	" 
			
			Tickets still available on all days.
		"	a reputation beyond repute	Join Date: Oct 2008	Groaned at 140 Times in 122 Posts	(Basel, Concert/Show, Scala Basel) Basel Panto - Dick Whittington Dec 8-11 | 08.12.2016 19:30 - 11.12.2016 19:00	"""NotAllThere"	Posts: 9,057	378	1	Commercial events
16	05.12.2016, 23:02	Forum Legend	Thanked 7,735 Times in 3,203 Posts	Location: Züri	" 
			
			Thanks to all who attended last night - it was quite beautiful to have such live music in our cosy bar.
		"	a reputation beyond repute	Join Date: Jun 2006	Groaned at 160 Times in 109 Posts	(Zurich, Concert/Show, Feldstr 144 Schöneggplz 8004) Live Classical Music Night at Hotel Bar Zürich | 04.12.2016 18:00 -  23:00	"""Uncle Max"	Posts: 7,390	540	1	Commercial events
17	05.12.2016, 14:01	Forum Veteran	Thanked 1,566 Times in 742 Posts	Location: Aargau	" 
			
			Seems that you are a little ahead of yourself...the webpage doesn't exist yet.   
Nothing found Sorry, we couldn't understand what you meant. Try searching below... 
Search for:
		"	a reputation beyond repute	Join Date: Apr 2009	Groaned at 109 Times in 53 Posts	(Zurich, Other, Global People Transitions, Hedwigsteig 6, 900 - 1100) HireMe! Group Coaching Program | 07.04.2017 10:00 - 05.05.2017 12:00	"""nigelr"	Posts: 1,453	282	1	Commercial events
18	null	null	null	null	null	null	null	null	(Zurich, Other, Global People Transitions, Hedwigsteig 6, 900 - 1100) HireMe!  Group Coaching Program | 03.02.2017 15:00 - 03.03.2017 17:00	null	null	244	0	Commercial events
19	null	null	null	null	null	null	null	null	(Zurich, Other, Global People Transitions, Hedwigsteig 6, 900 - 1100) HireMe! Group Coaching Program | 20.01.2017 10:00 - 17.02.2017 12:00	null	null	289	0	Commercial events
20	02.12.2016, 14:21	Forum Veteran	Thanked 1,134 Times in 515 Posts	Location: Uetikon am See	" 
			
			There are, but we are far and wide, not to mention lazy and unmotivated to go out in -6 degrees......( I speak for myself of course)
		"	a reputation beyond repute	Join Date: Nov 2009	Groaned at 11 Times in 7 Posts	(Zurich, Other, Outback Lodge Stadelhofen) Aussies in Zurich drinks | 02.12.2016 18:30 -  23:30	"""RTN"	Posts: 1,091	536	2	Commercial events
21	null	null	null	null	null	null	null	null	(BASEL, Concert/Show, Alte Markthalle, Steinentorberg 20, 4051, Chf 40/35.-) International Comedy Club Basel - Sean McLoughlin + Angela Barnes | 10.12.2016 20:00 -  22:00	null	null	287	0	Commercial events
22	null	null	null	null	null	null	null	null	(ZURICH, Concert/Show, Mascotte, Theaterstr. 10, 8001 Zurich, Chf 40/35.-) International Comedy Club Zurich - Sean McLoughlin + Angela Barnes | 09.12.2016 20:00 -  22:00	null	null	338	0	Commercial events
23	null	null	null	null	null	null	null	null	(LAUSANNE, Concert/Show, No Name Bar, Chauderon 18, 1003 Lu, Chf 30/25.-) International Comedy Club Lausanne - Sean McLoughlin + Angela Barnes | 08.12.2016 20:00 -  22:00	null	null	275	0	Commercial events
24	null	null	null	null	null	null	null	null	(GENEVA, Concert/Show, Uptown Geneva, 2 Rue de Servette 1201 GE, Chf 40/35.-) International Comedy Club Geneva - Sean McLoughlin + Angela Barnes | 07.12.2016 20:00 -  22:00	null	null	282	0	Commercial events
25	28.11.2016, 14:54	Newbie 1st class	Thanked 20 Times in 7 Posts	Location: Basel	"    Yes, it's run by Christians. Hardly ""tucked away"". It's in one of the main sections:          Yes, it is. Are you sure these are people like that? Or is this just the ugly prejudice and intolerance rearing its head again?
		"	earned some respect	Join Date: Aug 2012	Groaned at 0 Times in 0 Posts	International students weekly meetup Basel	"""gezzahead"	Posts: 17	498	8	Commercial events
26	22.11.2016, 20:53	Newbie 1st class	Thanked 8 Times in 5 Posts	Location: Zurich	" 
			
			Hi everyone!   
I have started a new meetup group called  , and if you have a sense of adventure, I invite you all to join!   
We are snowboarders, splitboarders, skiiers, and hikers. Above all, we like adventures and love a good time. I will be organizing small events throughout the year with winter sports focusing on freeriding lesser known gems as well as the more well known ones. Powder is powder, right? We can still ski the pistes, and you better believe we will wash all that down with a beer or two   Spring/Sommer/Fall is all about trails and ales   
It is a group dedicated to the pursuit of outdoor excitement. I hope to foster a real community half as good as this one.   
@admins, please move this post if it is not in the right section.
		"	no particular reputation at present	Join Date: Sep 2014	Groaned at 0 Times in 0 Posts	New outdoor sports meetup	"""Brewer"	Posts: 13	418	0	Commercial events
27	11.11.2016, 10:03	Forum Legend	Thanked 9,764 Times in 3,936 Posts	Location: Glarus	" 
			
			quick bump   
Its this weekend, we'll be there sat & sun, bonus points if you spot us   "	a reputation beyond repute	Join Date: Mar 2009	Groaned at 312 Times in 251 Posts	Lego event 18-20th Nov	"""bigblue2"	Posts: 6,233	1,241	22	Commercial events
28	11.11.2016, 15:08	Forum Legend	Thanked 7,735 Times in 3,203 Posts	Location: Züri	" 
			
			Thank you to all who came down over the course of the evening; we chomped through three legs of Jamon, 340 oysters, cases of Cava, gallons of Stout, 75 litres (!) of comforting Hot Toddies and mooched until after 4am...   
I'm still on a protein rush from all the oysters    
It was a pleasure to meet new faces and old as people made their tour of Kreis 4 and the launch of Tribeka. Props to the Beat Pirates for the tunes and the good nature of the guests.    
We look forward to hosting our classical music night on Sunday 4th December: see the events calendar for details.   
Cheers and thanks again.
		"	a reputation beyond repute	Join Date: Jun 2006	Groaned at 160 Times in 109 Posts	(Zurich, Exhibition, Hotel Bar, Schöneggplatz, Feldstr. 144) Tribeka Launch at Hotel Bar Zurich | 17.11.2016 18:00 -  23:30	"""Uncle Max"	Posts: 7,390	683	2	Commercial events
29	17.11.2016, 15:53	Newbie 1st class	Thanked 5 Times in 3 Posts	Location: Zurich	" 
			
			Evening all,   
About a year ago, I arrived in Switzerland & placed an advert on English Forum looking for like minded musicians.   
The eventual result of that initial advert is the band RAGDOLL SUNDAY; highly listenable original classic rock / grunge influenced music with soaring vocals; marked as one of the hottest new rock bands coming up in Switzerland, with an album due to be released Summer 2017.   
Saturday 26th Nov at 20:30, we'll play a   show at  .   
It'll be one of the only shows where we'll play all the songs which might make it onto next year's album over a 1.5 hour set. All for   You can hear a taste of our music  , from our demo we recorded in May this year.   
There'll be food, drinks & a rocking night all around, & all are welcome!
		"	no particular reputation at present	Join Date: Apr 2015	Groaned at 0 Times in 0 Posts	RAGDOLL SUNDAY @ McGee's Sat 26th Nov (the band English Forum made!)	"""Unjaded"	Posts: 17	409	0	Commercial events
30	null	null	null	null	null	null	null	null	(Basel, Concert/Show, Neue Alte Markthalle, 4051 Basel, Chf 40/35.-) International Comedy Club Basel - Mike Wilmot (Can) | 26.11.2016 20:00 -  22:00	null	null	412	0	Commercial events
31	null	null	null	null	null	null	null	null	(Zurich, Concert/Show, Mascotte, Theaterstr. 10, 8001 Zurich) International Comedy Club Zurich - Mike Wilmot (Can) | 25.11.2016 20:00 -  22:00	null	null	407	0	Commercial events
32	null	null	null	null	null	null	null	null	(Lausanne, Concert/Show, Chauderon 18/No Name Bar, 1003 Lausanne, Chf 30/25.-) International Comedy Club Lausanne - Mike Wilmot (Can) | 24.11.2016 20:00 -  22:00	null	null	364	0	Commercial events
33	null	null	null	null	null	null	null	null	(Geneva, Concert/Show, Uptown Geneva, R. de Servette 2, 1201 GE, Chf 40/35.-) International Comedy Club Geneva - Mike Wilmot (Can) | 23.11.2016 20:00 -  22:00	null	null	385	0	Commercial events
34	null	null	null	null	null	null	null	null	(Zurich, Other, Viewfinder Center & City) Zurich Night Photography Course | 09.12.2016	null	null	437	0	Commercial events
35	15.11.2016, 08:35	Member	Thanked 237 Times in 96 Posts	Location: Tuggen SZ	" 
			
			Looks interesting, for those interested a bit more information (in German) can be found at:    "	an excellent reputation	Join Date: Aug 2006	Groaned at 1 Time in 1 Post	Vintage Computer Festival Zürich	"""caz"	Posts: 248	405	1	Commercial events
36	null	null	null	null	" 
			
			Thanks to all who came last night and boogied until 04:00. We had a real mixture of revellers and the mood was very friendly.     
I'm impressed with the general behaviour of guests: gallons of booze drunk, dancing around tables and rarely a broken glass. Best of all never any hassle - thank you!    
We were curious how an Electro night would go down in our usually demure bar but are delighted it was enjoyed by all.    
There are various upcoming events if you're looking to expand your social circle here in Zurich, including an evening of Soprano / Mezzo Soprano singing, readings, improv, our birthday party, more DJ sets...   
Next Thursday - Nov. 17th - we host the opening celebrations of   Zürich. It would be a pleasure to welcome you. Do introduce yourself, especially if you come on your own. We have loads of English speaking customers coming in and our staff love to be hospitable. Customers always end up chatting to each other, too, which is deeply satisfying.    
Cheers!
		"	null	null	null	(Zurich, Concert/Show, Hotel Bar, Schöneggplatz, Feldstr. 144, Free Entry) No Vacancy DJ Set at Hotel Bar Zurich | 10.11.2016 21:00 - 11.11.2016 02:00	guest	null	557	1	Commercial events
37	11.11.2016, 09:48	Forum Veteran	Thanked 1,134 Times in 515 Posts	Location: Uetikon am See	" 
			
			Look for Rob or Manny at the bar or ask Ben (Aussie) who works there, it is tonight.
		"	a reputation beyond repute	Join Date: Nov 2009	Groaned at 11 Times in 7 Posts	(Zurich, Other, Outback Lodge Stadelhofen) Aussies in Zurich drinks | 11.11.2016 18:30 -  23:30	"""RTN"	Posts: 1,091	462	1	Commercial events
38	10.11.2016, 11:39	Newbie	Thanked 12 Times in 1 Post	Location: Coppet	"    Yes, does make things pretty boring - thought that it would spice-up my life, but no.  Will stick to English...
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Like to play Scrabble in English ?	"""Dave Underhill"	Posts: 4	789	20	Commercial events
39	10.11.2016, 17:18	Forum Legend	Thanked 17,658 Times in 6,743 Posts	Location: Democratic Republic Kenistan	" 
			
			I would be interested but this is unfortunately much too short notice for me, shame!
		"	a reputation beyond repute	Join Date: Apr 2010	Groaned at 342 Times in 278 Posts	(Zurich, Family, rich, yes) Bio/Neurofeedback and Self Sustainability | 17.11.2016 19:00 -  21:30	"""dodgyken"	Posts: 9,911	371	2	Commercial events
40	null	null	null	null	null	null	null	null	(Baar (Kanton Zug), Family, Christlicher Treffpunkt Zugerstrasse 64a) Nearly New Sale (Children's clothing/toys 0-12 years) | 12.11.2016	null	null	518	0	Commercial events
41	06.11.2016, 16:26	Forum Legend	Thanked 7,735 Times in 3,203 Posts	Location: Züri	" 
			
			great night. hopefully it comes soon again.
		"	a reputation beyond repute	Join Date: Jun 2006	Groaned at 160 Times in 109 Posts	(Zurich, Concert/Show, Hotel Bar, Schöneggplatz, Feldstr. 144, Free Entry) Live Jazz in the Hotel Bar | 05.11.2016 20:00 -  23:30	"""Uncle Max"	Posts: 7,390	477	2	Commercial events
42	null	null	null	null	null	null	null	null	(Basel, Family, Crossroads Church, Reinacherstrasse 129) Basel, Charity Book and Bake Sale plus Kate Orson Book Signing | 05.11.2016 09:00 -  12:00	null	null	411	0	Commercial events
43	null	null	null	null	null	null	null	null	(Basel, Family, Launch Labs, Dornacherstrasse 192) Basel, Autumn Family Flea Market and Bake Sale Sat 5th November 2016 9am- midday | 05.11.2016 09:00 -  12:00	null	null	439	0	Commercial events
44	null	null	null	null	null	null	null	null	(Lausanne, Concert/Show, Cinéma Oblò, Avenue de France 9, 10CHF/5CHF reduced) CatCave9: Monthly English Science Improv Theater in Lausanne | 17.11.2016	null	null	391	0	Commercial events
45	15.10.2016, 13:36	Forum Veteran	Thanked 1,134 Times in 515 Posts	Location: Uetikon am See	" 
			
			Two weeks to go, any takers?
		"	a reputation beyond repute	Join Date: Nov 2009	Groaned at 11 Times in 7 Posts	Aussies in Zurich	"""RTN"	Posts: 1,091	481	2	Commercial events
46	27.10.2016, 12:06	Newbie 1st class	Thanked 5 Times in 3 Posts	Location: Lausanne	" 
			
			Hi guys and gals,   
There's a free concert in Vevey happening on the 6th of November. Hailing from Kansas, Dark Rooms are a pop band headed by Daniel Hart. Daniel's recently written the soundtrack to the latest Disney animated movie, Peter & the Dragon, as well as Fox's The Exocist. He's also worked with the Polyphonic Spree, Swans, St Vincent, Other Lives. You can find more info on the venu here:   There's a limited number of entrances available, so please email   if you're interested!   
Looks forwarded to seeing you there.   
Chris
		"	no particular reputation at present	Join Date: Feb 2016	Groaned at 0 Times in 0 Posts	Free concert in Vevey	"""SwissGuitarArmy"	Posts: 15	371	0	Commercial events
47	03.10.2016, 23:17	Forum Veteran	Thanked 2,104 Times in 647 Posts	Location: Züri Unterland	" 
			
			An article in the Zürcher Unterlander about the Festival:         "	a reputation beyond repute	Join Date: Sep 2006	Groaned at 69 Times in 41 Posts	(Freienstein, ZH, Exhibition, Neues Kino, Strickgasse 1, 8427 Freienst, Adults 20CHF/Kids Free) Freestone Fly Fishing Film Festival | 05.11.2016	"""Principia Discordia"	Posts: 1,060	677	2	Commercial events
