	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
10	25.12.2012, 10:27	Forum Legend	Thanked 10,604 Times in 5,427 Posts	Location: Murten - Morat	"     . Have a look - you might even enjoy it. It's a delightful bit of whimsy.
		"	a reputation beyond repute	Join Date: Oct 2011	Groaned at 544 Times in 344 Posts	"""Dinner for One"" TV show, endlessly repeated"	Sbrinz	Posts: 11,006
11	06.01.2017, 00:28	Junior Member	Thanked 5 Times in 3 Posts	Location: Aarau	" 
			
			has EF suddenly become mobile phone companies tech support?? was it a samsung phone? did you try to transfer the numbers at interdiscount? did they charge you 80 bucks???
		"	no particular reputation at present	Join Date: Sep 2013	Groaned at 2 Times in 2 Posts	Lycamobile 2 months still nothing	davdenic	Posts: 50
12	05.01.2017, 18:37	Senior Member	Thanked 128 Times in 80 Posts	Location: zurich	"    The built-in Speech Recognition feature in Windows is actually quite good. Just use a headset (with boom mike) and be sure to go through the full voice training.
		"	considered knowledgeable	Join Date: Oct 2009	Groaned at 0 Times in 0 Posts	free speech (voice) to text for windows?	swissnyc	Posts: 281
13	02.01.2017, 10:40	Junior Member	Thanked 26 Times in 15 Posts	Location: Zurich	"    The answer is not to solely rely on the parameters of the parental controls to restrict internet access. Most internet awareness advice given out by schools advocate parents as the most effective barrier and not allowing kids to surf behind closed doors.  When you have multilingual kids, preselected parental controls are a piece of cake to get around.   
All our devices are wifi access only so sneaky playground surfing doesn't work.
		"	become a little unpopular	Join Date: May 2013	Groaned at 6 Times in 4 Posts	UPC Cablecom parental controls	Y'sul	Posts: 42
14	01.10.2014, 16:30	Forum Legend	Thanked 12,189 Times in 5,300 Posts	Location: Fribourg	" 
			
			What will you watch on it?   
Is anyone transmitting 4K?
		"	a reputation beyond repute	Join Date: Dec 2010	Groaned at 292 Times in 196 Posts	"Samsung 50"" 4K TV, 777.00 in Migros"	TiMow	Posts: 9,310
15	07.09.2016, 09:02	Forum Veteran	Thanked 5,424 Times in 1,946 Posts	Location: Zürich	"    Overpriced perhaps, but in terms iOS of doing way less, can you give me an example. My experience in terms of my usage case, which admittedly is quite niche, is exactly the opposite.
		"	a reputation beyond repute	Join Date: Mar 2008	Groaned at 300 Times in 177 Posts	iPhone 7 released today	Loz1983	Posts: 1,091
16	01.03.2012, 13:15	Forum Legend	Thanked 5,095 Times in 2,633 Posts	Location: north	"    My kids rave about Once Upon a Time, but I think Grimm seems more up my street. Will have to check it out.
		"	a reputation beyond repute	Join Date: May 2010	Groaned at 226 Times in 146 Posts	good TV series recomendations..... ?	rob1	Posts: 6,138
17	26.12.2016, 07:47	Member	Thanked 6 Times in 5 Posts	Location: Vaud	"      Apparently you do. It's a building insurance for owners rather than tenants so if you're renting you would have no reason to know of it's existence unless you had a building related problem.
		"	considered unworthy	Join Date: Jun 2009	Groaned at 15 Times in 6 Posts	Electrical interruption and my PCs went ****	2funky	Posts: 112
18	19.12.2015, 19:08	Junior Member	Thanked 119 Times in 50 Posts	Location: Zürich	" 
			
			I'm also about to decide on a cable provider, so if you're saying that I can watch a streaming video without any hiccup, then I'm sold.
		"	no particular reputation at present	Join Date: Jul 2012	Groaned at 8 Times in 7 Posts	Surf at home from Salt	zurcherbaby	Posts: 96
19	14.12.2016, 17:16	Member	Thanked 6 Times in 5 Posts	Location: Vaud	" 
			
			and i am sure swisscom will immediately give a refund for your interruption   "	considered unworthy	Join Date: Jun 2009	Groaned at 15 Times in 6 Posts	Fixed Phone at home	2funky	Posts: 112
20	24.12.2016, 22:10	Member	Thanked 54 Times in 31 Posts	Location: Zurich	" 
			
			Is it only me ? It looks like a general fault..at christmas eve...great!
		"	considered unworthy	Join Date: Jan 2010	Groaned at 47 Times in 19 Posts	swisscom-tv - internet offline	superpippo	Posts: 113
21	23.08.2011, 22:16	Member	Thanked 17 Times in 11 Posts	Location: Lausanne	" 
			
			well I think it depends on who you get on the other end of the line. I have had some bad experience with Germans. Especially if you ask them to repeat what they said because they speak so fast. Arrogant bunch
		"	no particular reputation at present	Join Date: Mar 2011	Groaned at 0 Times in 0 Posts	UPC Cablecom	mulan	Posts: 109
22	20.12.2016, 15:36	Junior Member	Thanked 112 Times in 46 Posts	Location: Baden	" 
			
			And UPC uses Salt's network. They OK??
		"	earned the respect of many	Join Date: May 2007	Groaned at 2 Times in 2 Posts	UPC Mobile is DEAD right now, throughout Switzerland	UncleMike988	Posts: 83
23	05.12.2016, 21:27	Forum Legend	Thanked 4,231 Times in 2,080 Posts	Location: Europe	"    Not quite true - if you have to do a DFU reset on an iToy then it needs to be connected to a computer via USB to reinstall the OS and the baseband firmware.   
Also using a wired connection is mostly faster than using WiFi, which helps an awful lot if you're frequently transferring large amounts of data.   
But apart from that you're right.
		"	a reputation beyond repute	Join Date: Dec 2010	Groaned at 487 Times in 297 Posts	iPad pro or Macbook pro ?	Today only	Posts: 3,897
24	19.12.2016, 22:17	Newbie	Thanked 0 Times in 0 Posts	Location: zurich	" 
			
			I ordered a TV box from Panasonic  and didn't understand the shipping conditions (they were in German), it cost me more or less Fr. 65.-- in  
postal fees   "	no particular reputation at present	Join Date: Jul 2014	Groaned at 0 Times in 0 Posts	Moving - Need a TV box	samrock	Posts: 1
25	null	null	null	null	    Haha, nice one.   	null	null	null	Headache trying to renew MS Office 365	guest	null
26	null	null	null	null	" 
			
			I dropped off my old Technicolor modem at the Naxoo shop and picked up a Connect Box. They told me it could take up to 4 hours to activate but actually it took about ten minutes.    
Range is better now. Other than that, no difference.
		"	null	null	null	"""Connect box"" - New UPC Cablecom modem"	guest	null
27	23.09.2016, 15:29	Senior Member	Thanked 329 Times in 125 Posts	Location: Zug	" 
			
			I forgot the password for my yahoo account long time ago I have been trying to recover it without success, now I might find it online    "	earned the respect of many	Join Date: Dec 2013	Groaned at 0 Times in 0 Posts	Did you hear the shocking news about Yahoo this morning?	Th3Alchemist	Posts: 281
28	16.12.2016, 18:47	Newbie	Thanked 0 Times in 0 Posts	Location: Basel	" 
			
			Apparently you dial +41 848 800 xxx   where xxx is 140 or whatever the emergency number is. 112 is the general one. 1811 is directory enquiries.   
Never tried myself.
		"	no particular reputation at present	Join Date: Jun 2012	Groaned at 0 Times in 0 Posts	Local Emergency Numbers in Zurich	Psycho_pr	Posts: 1
29	08.06.2016, 23:19	Senior Member	Thanked 178 Times in 88 Posts	Location: Zurich	" 
			
			Getflix is working with US Netflix.
		"	slipped a little	Join Date: Jul 2012	Groaned at 47 Times in 31 Posts	Best VPN/Proxy/DNS for watching Netflix USA?	Mr.Maquiavelo	Posts: 251
30	12.12.2016, 13:24	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Winterthur	" 
			
			Been with Sunrise 6 years now and Yes in the beginning it was a bit hectic, 
But now customer service beats Swisscom hands down and service is great.  
I use it for business reasons and need good service.   
Sunrise every time for me.
		"	no particular reputation at present	Join Date: Oct 2016	Groaned at 0 Times in 0 Posts	Internet connection for home	philo	Posts: 11
31	15.12.2016, 15:36	Forum Legend	Thanked 9,956 Times in 5,680 Posts	Location: Misery-Courtion	    Yes, pay 15.- a month for NTV and have access to all Sky channels, without the cash going anywhere near Murdoch   	a reputation beyond repute	Join Date: Jul 2011	Groaned at 173 Times in 137 Posts	Murdoch finally gets his hands on Sky TV	Medea Fleecestealer	Posts: 13,857
32	14.12.2016, 18:01	Forum Veteran	Thanked 526 Times in 283 Posts	Location: Basel	" 
			
			Yes, I've also found that certain films are geo-restricted to Germany but International titles like Grand Tour work in Switzerland. I guess I might go back to using SMART DNS.
		"	earned the respect of many	Join Date: Oct 2006	Groaned at 18 Times in 12 Posts	Amazon Prime now available in Switzerland	BaselLife	Posts: 873
33	13.12.2016, 17:47	Newbie 1st class	Thanked 4 Times in 3 Posts	Location: aargau	" 
			
			If you get the bill in the post it is a pain in the neck, comes much later than any other bills and has to be paid right away, we wait for IT each month...
		"	no particular reputation at present	Join Date: Oct 2016	Groaned at 0 Times in 0 Posts	Does UPC send a bill with the router?	elastufka	Posts: 12
34	13.12.2016, 09:03	Junior Member	Thanked 5 Times in 3 Posts	Location: Aarau	" 
			
			From experience with Lyca credit issues in the past, they have a slow but useful customer service regarding such issues, just sometimes they are ""hard to understand ""...
		"	no particular reputation at present	Join Date: Sep 2013	Groaned at 2 Times in 2 Posts	Lycamobile not possible to renew the abo	davdenic	Posts: 50
35	null	null	null	null	" 
			
			Update after a weekend of trials in Warsaw: no success!
		"	null	null	null	Lycamobile: promotional balance trap	guest	null
36	13.09.2016, 19:13	Forum Veteran	Thanked 344 Times in 238 Posts	Location: Lausanne	"    Says the forum member with a line of red blobs. No need to ask why there.
		"	earned some respect	Join Date: Oct 2014	Groaned at 11 Times in 9 Posts	Swisscom stops DSL Standard	Tinkiwinki	Posts: 736
37	12.12.2016, 16:02	Junior Member	Thanked 10 Times in 5 Posts	Location: zurich	" 
			
			Haven't been home to try it yet, but the announcement says go to channel 119 and sign in. I imagine it works on all horizon boxes.
		"	considered unworthy	Join Date: Jun 2010	Groaned at 18 Times in 3 Posts	Netflix Has Arrived On UPC	scotty3032	Posts: 43
38	02.12.2015, 15:52	Junior Member	Thanked 10 Times in 8 Posts	Location: Zurich	"    But is changing from swisscom to sunrise worth it? The yello one looks great that's what I'd like to go for
		"	annoyed a few people around here	Join Date: May 2012	Groaned at 8 Times in 5 Posts	Salt Christmas offer, 29/month, all unlimited	GeyzeR	Posts: 43
39	11.12.2016, 16:30	Forum Legend	Thanked 1,179 Times in 757 Posts	Location: Zürich	" 
			
			Well I got the 8.1 pro and then updated to Windows 10 Pro    "	m	Join Date: Oct 2007	Groaned at 385 Times in 202 Posts	Windows 10 update		Posts: 3,753
40	null	null	null	null	"    HGST aka Hitachi is the brand
		"	null	null	null	NAS recommendations	guest	null
41	10.12.2016, 17:41	Forum Veteran	Thanked 593 Times in 275 Posts	Location: Zug	"     
Not sure if the OP was talking about the Inspiron 15 5000 2-in-1 which is 2.3KG or the Inspiron 15 5000 2-in-1 which is a brick at 2.77KG. the Inspiron 15 7000 is a games machine and is not a folding 2-in-1. But I could be wrong in my research.   
Personally any 2-in-1 above 2KG is too heavy!
		"	considered unworthy	Join Date: Mar 2014	Groaned at 129 Times in 76 Posts	2in1 laptops: MS Surface Book vs Lenovo Yoga vs HP Spectre 360 vs Dell Inspiron	Troublawesome	Posts: 729
42	21.07.2014, 12:17	Newbie	Thanked 1 Time in 1 Post	Location: Lausanne	" 
			
			I think DAZN only have the german region rights, which is why Swisscom / Teleclub can show the games with French commentary on the SFR1 channel.   
I've signed up to DAZN this weekend and have seen the quality of the catchup is fantastic but the live games can be a bit hit and miss. The german commentary is ok and I think I can put up with it    
DAZN has no champ league / Europea League rights, correct? Do you know if Swisscom TV still have these on PPV?   
I just wish they would sort out their AppleTV app!
		"	no particular reputation at present	Join Date: Jul 2013	Groaned at 0 Times in 0 Posts	English Premier League PPV w/ Swisscom questions	lsnstudiosearch	Posts: 2
43	20.11.2016, 22:35	Forum Veteran	Thanked 533 Times in 283 Posts	Location: Holzhäusern	      hahaha, I think for non-native English speakers she is far from annoying. The problem is that in the beginning she was kinda cute but then she turned into a potato.   	earned the respect of many	Join Date: Aug 2011	Groaned at 5 Times in 3 Posts	Clarkson and Co - Grand Tour	Markarina	Posts: 694
44	null	null	null	null	" 
			
			What you need is a proper converter (pic attached).   
I think i got it from amazon, i cant remember.     
cheers 
SC
		"	null	null	null	Connect PS4 or TV to Logitech speakers	guest	null
45	12.09.2014, 14:43	Forum Legend	Thanked 2,012 Times in 1,160 Posts	Location: Ostschweiz	"    Thanks for the input!   
Since the 3rd package is the one that offers Ultra HD, I bet that is the one my OH will want   "	a reputation beyond repute	Join Date: Dec 2006	Groaned at 96 Times in 46 Posts	Netflix Switzerland starting September 18	dawiz	Posts: 4,027
46	19.06.2014, 18:02	Forum Legend	Thanked 12,067 Times in 4,729 Posts	Location: Zurich	    Load times are quicker. SSD makes little difference, much better to get the 1TB   	a reputation beyond repute	Join Date: Mar 2009	Groaned at 529 Times in 401 Posts	The Playstation 4 Current/Future Owners Thread	Richdog	Posts: 9,278
47	04.12.2016, 22:07	Junior Member	Thanked 17 Times in 11 Posts	Location: Geneva / Zurich	" 
			
			Contact Apple and ask them. Complain. Its only 5 years old. Another good reason never to buy Apple. Its their planned obsolecence plan   "	no particular reputation at present	Join Date: Oct 2011	Groaned at 1 Time in 1 Post	Reccomendations for place to repair an old iMac	Malapetaka	Posts: 36
48	04.12.2016, 14:22	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Geneva area	"    Or get the CANAL+ pack. Everything on there that's of another language is in dual language. And it's about the latest as far as the European market goes. Yes it's expensive, but you get original creations and stuff you might miss on other channels, especially if you're left leaning.   
I prefer the Cinema+ pack but that's not available on Swisscom... The joys of choosing the monopoly (I can't see any advantage these days).
		"	no particular reputation at present	Join Date: Oct 2014	Groaned at 0 Times in 0 Posts	How to increase variety of TV series and films except what I get from Swisscom?	Yaelma	Posts: 10
49	03.11.2016, 00:53	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			If you're planning in staying in your apartment for more than a year, always get fiber optic. Init7 in ZH will do you a nice deal, for barely more than the Swisscom 250Mbps package.   
And to the ""you don't need that bandwidth"", there's no such thing as too much bandwidth. And more allows you to run a business from home, for example.
		"	no particular reputation at present	Join Date: Oct 2014	Groaned at 0 Times in 0 Posts	Internet speed/ broadband how to choose?	Dominika F	Posts: 13
50	16.11.2016, 11:05	Forum Legend	Thanked 1,179 Times in 757 Posts	Location: Zürich	" 
			
			well its boring. No more calls      "	m	Join Date: Oct 2007	Groaned at 385 Times in 202 Posts	New Call Filter from Swisscom		Posts: 3,753
51	23.11.2016, 17:17	Newbie 1st class	Thanked 2 Times in 2 Posts	Location: zurich	    	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	NEW apartment = new TV/Internet service	Jamboree	Posts: 22
52	30.11.2016, 15:21	Forum Legend	Thanked 14,329 Times in 5,819 Posts	Location: Kanton Luzern	" 
			
			When you first get a Sim card then in the contacts list ( Telephone ) there will usually be other numbers like Weather or Games etc. These can be Premium services. Delete out of the list.
		"	a reputation beyond repute	Join Date: Jan 2007	Groaned at 271 Times in 215 Posts	Swisscom prepaid mobile charges	Tom1234	Posts: 10,200
53	04.06.2014, 01:29	Newbie 1st class	Thanked 10 Times in 4 Posts	Location: zurich	" 
			
			Sorry, but you should have read SkyEuope.tv terms and conditions yourself.   
""R) The viewing card received remains the property of SkyEurope.tv at all times.""   
If you don't send it back then you're still using their service and they can charge you for it.  If you want it for free to air channels then you must pay the 120 euros.  If you don't want the card for either, then there's no reason to keep it so send it back.
		"	no particular reputation at present	Join Date: Mar 2008	Groaned at 0 Times in 0 Posts	SkyEurope.tv	seaton cliffs	Posts: 18
54	30.11.2016, 16:45	Newbie	Thanked 0 Times in 0 Posts	Location: Geneva	" 
			
			Hi, 
Excepted aldi-mobile.ch and swisscom, do you know providers offering surfstick usb with prepaid ?
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 1 Time in 1 Post	surfstick prepaid	bertaudmarc	Posts: 8
55	29.10.2016, 13:18	Member	Thanked 77 Times in 40 Posts	Location: St. Gallen	" 
			
			Does freevoipdeal.com make the porting of phone number ?
		"	considered knowledgeable	Join Date: Nov 2010	Groaned at 0 Times in 0 Posts	VOIP alternatives to Switzernet?	neddie	Posts: 125
56	28.11.2016, 18:07	Forum Legend	Thanked 1,179 Times in 757 Posts	Location: Zürich	" 
			
			well Trump might be putting some pressure on Apple for more local content
		"	m	Join Date: Oct 2007	Groaned at 385 Times in 202 Posts	Apple Airport Express		Posts: 3,753
57	28.11.2016, 21:19	Newbie	Thanked 0 Times in 0 Posts	Location: Fribourg	" 
			
			Actually, it does. 
You pay $90 for cable and internet, plus whathever you spend on cellphones.  
But an inlimited plan for 4G is 65,00 each phone. 
Thank you for your answer. If it works technically, than it is fine by me  "	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	mobile tethering X house plan	tabi	Posts: 3
58	29.11.2016, 13:22	Member	Thanked 94 Times in 39 Posts	Location: Zurich	" 
			
			The ios app syncs well with Gear S2. See video below       
It is the beta version from Samsung and will be officially out soon.         "	slipped a little	Join Date: Dec 2007	Groaned at 2 Times in 2 Posts	Samsung Gear manager for IOS, works for iPhone 7 (xda-developer)	BigB.ZH	Posts: 109
59	null	null	null	null	"    GSM 1800 vs 900 makes very little difference, even to the extend that Vodafone and o2 in the UK are primarily 900 based but have some 1800 frequencies in the main cities.
		"	null	null	null	Swisscom vs Orange vs Sunrise signal strength... opinions please.	guest	null
60	22.12.2014, 09:43	Junior Member	Thanked 5 Times in 4 Posts	Location: Zurich	" 
			
			Thought this link might help as a follow-up:     
We have not tried to deregister via this site yet, but I will post again here if we have any difficulties in that process.
		"	no particular reputation at present	Join Date: Nov 2014	Groaned at 2 Times in 2 Posts	Billag deregistration letter - german translation help	maybeyesmaybeno	Posts: 48
61	08.05.2016, 21:59	Junior Member	Thanked 38 Times in 20 Posts	Location: Lausanne	"    Thank you Maarten85 for the rapid response. I ended up calling customer service and they reset the line, apparently they saw there was some kind of error on their part. I will have to see if things are. Good to know about the reheating issue. I actually have hung my modem/router on the wall, to try and obtain a better signal, and I think that helps. I do not think it is a good idea to enclose it under a heavy desk or in a media cabinet, and I did some research on the best placement. Getting it up higher in an unblocked location helps it, apparently. Cheers!
		"	no particular reputation at present	Join Date: Aug 2013	Groaned at 0 Times in 0 Posts	Unstable connection with Citycable in Lausanne	Anarki	Posts: 55
62	16.11.2016, 16:40	Forum Veteran	Thanked 248 Times in 155 Posts	Location: Zurich	"    One Plus One was a fabulous phone running on CyanogenMod. Android could hardly get better than this.
		"	earned some respect	Join Date: Mar 2011	Groaned at 0 Times in 0 Posts	Oneplus 3t	we_da_man	Posts: 528
63	null	null	null	null	"    We've never met. You would have remembered me.
		"	null	null	null	SOHO phone kit	guest	null
64	05.08.2016, 17:32	Newbie	Thanked 1 Time in 1 Post	Location: Zürich	" 
			
			You are right   sorry. 
And you: what do you have, what do you advice ? 
What about the VoIP ?
		"	no particular reputation at present	Join Date: Aug 2016	Groaned at 0 Times in 0 Posts	Fiber7	elentari	Posts: 6
65	16.11.2016, 11:22	Forum Veteran	Thanked 2,896 Times in 1,184 Posts	Location: Zug	" 
			
			yes exactly   "	a reputation beyond repute	Join Date: Jan 2008	Groaned at 45 Times in 29 Posts	Second hand / refurbished macs	Swiss Cheddar	Posts: 2,080
66	10.11.2016, 15:13	Newbie 1st class	Thanked 4 Times in 3 Posts	Location: aargau	" 
			
			Thanks for the info ... they sound like a good option! Maybe if I call them up and threaten to go with Sunrise or something else instead they'll waive the electrician fee   "	no particular reputation at present	Join Date: Oct 2016	Groaned at 0 Times in 0 Posts	iway internet	elastufka	Posts: 12
67	22.02.2016, 16:48	Forum Legend	Thanked 12,067 Times in 4,729 Posts	Location: Zurich	"    Making a comment on a forum thread is not exactly 'focusing', is it?    
Other people made similar comments to mine.   
I like to read about the latest technology - that's why I read these threads and other sources.  I don't need to buy it all though, do I?
		"	a reputation beyond repute	Join Date: Mar 2009	Groaned at 529 Times in 401 Posts	The Android Beasts Thread 2016 Edition... With Extra ZOMG!	Richdog	Posts: 9,278
68	15.11.2016, 14:46	Newbie 1st class	Thanked 1 Time in 1 Post	Location: Zurich	" 
			
			You can try streaming online.. Some good ones for m have been watchseries.to and 123movies. I know Netflix in CH is terrible!!!
		"	become a little unpopular	Join Date: Oct 2014	Groaned at 6 Times in 5 Posts	Netflix limited options	Sandeepm1980	Posts: 15
69	05.05.2015, 11:32	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Zurich	"    You're spreading wrong information.
		"	no particular reputation at present	Join Date: Nov 2011	Groaned at 0 Times in 0 Posts	Lycamobile tethering	alanzed	Posts: 22
70	11.11.2016, 00:40	Member	Thanked 24 Times in 21 Posts	Location: Zurich	" 
			
			The one that goes in the cable modem/router is normally an F-Type connector.  The other end is anyone's guess if you don't include a photo and/or dimensions.
		"	annoyed a few people around here	Join Date: Nov 2013	Groaned at 7 Times in 4 Posts	Buy new cable for my cablecom router	arduino	Posts: 131
71	22.09.2016, 22:40	Senior Member	Thanked 198 Times in 94 Posts	Location: Zug	" 
			
			I assume this information is only relevant for poor people who can't afford either the SALT or Swisscom contracts which include EU/US calls/roaming   "	considered knowledgeable	Join Date: Nov 2013	Groaned at 8 Times in 5 Posts	European mobile roaming charges to be axed. Pity the Swiss.	PanFastic	Posts: 282
72	11.11.2016, 00:11	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Zurich	" 
			
			I am living in Zürich and always have great signal with Lycamobile, so not sure it is because of their system when abroad. Still it is really strange, now sometimes I cannot even call international numbers because I get the message that the number does not exist, when I am sure that the number is correct. Lyca really offers amazing deals, but this kind of stuff annoys me. Is anybody experiencing the same behavior?
		"	no particular reputation at present	Join Date: Sep 2016	Groaned at 0 Times in 0 Posts	Lyca mobile calls abroad	geosync	Posts: 10
73	12.11.2016, 10:50	Newbie 1st class	Thanked 13 Times in 4 Posts	Location: Zurich	" 
			
			It's broken, but it's still working   you want it repaired? Do you mean the glass is broken? There's a place downstairs in the HB near the front tram stops that repairs glass screens quickly
		"	no particular reputation at present	Join Date: Sep 2015	Groaned at 0 Times in 0 Posts	Where to get your mobile fixed?	Raim	Posts: 19
74	null	null	null	null	" 
			
			For those who understand German, found the following article:       "	null	null	null	Wingo Mobile	guest	null
75	12.07.2016, 16:54	Forum Legend	Thanked 4,270 Times in 1,938 Posts	Location: Zurich	"    Google HD141x vs Benq 1070 for some opinions
		"	a reputation beyond repute	Join Date: Sep 2009	Groaned at 27 Times in 23 Posts	Shopping for projector - advice from those in the know?	Chemmie	Posts: 3,732
76	26.02.2016, 17:42	Forum Legend	Thanked 12,067 Times in 4,729 Posts	Location: Zurich	" 
			
			Well, after a few days with the GearVR and it's a pretty cool demonstration of the way consumer VR is heading. The main issue is that the resolution isn't good enough and needs to be higher, with a 4k screen as a minimum but ideally 8k would make for unpixellated viewing. I guess that's still a couple/few years away from that though.   
Either way it gives a cool effect in the demos and apps that are there and it will only get better as the production/filming techniques improve. I spent Sunday afternoon watching the ""Shorts"" (short movies, basically) in the Oculus store and they were great (even though they are mostly 2D), I highly recommend going through each and every one in sequence, there are some amazing concepts in them. Very cool.   
I also love the effect of using the ""Cinema"" setting, it really does feel like you are watching a big screen, albeit heavily pixellated. When the resolution increases it's going to be simply amazing. Same with Netflix, it's just too pixellated to be viable at the moment.   
Consumer VR in general is going to be amazing in a few generations, the possibilities for content are almost endless.   "	a reputation beyond repute	Join Date: Mar 2009	Groaned at 529 Times in 401 Posts	VR Headsets (Gear VR, Oculus Rift, HTC Vive, Playstation VR etc etc...)	Richdog	Posts: 9,278
77	06.11.2016, 18:35	Newbie	Thanked 1 Time in 1 Post	Location: Central Switzerland	"    Where did u buy the Nexus 6P for that price, can you please tell me.  
Thanks    
Manuel
		"	no particular reputation at present	Join Date: Mar 2016	Groaned at 6 Times in 3 Posts	When will Google Pixel smartphones be available in Switzerland?	Nuevo	Posts: 5
