	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
10	03.01.2017, 12:18	Newbie	Thanked 0 Times in 0 Posts	Location: Lausanne area	" 
			
			I have a young pinscher, they might meet?   
I ordered a few coats on Ali express for her.  They're really cheap, so I could buy different kinds and colours.
		"	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	Any saluki/greyhound/whippet puppies in Lausanne area?	matchabubbletea	Posts: 4
11	21.04.2010, 16:30	Forum Veteran	Thanked 2,523 Times in 1,215 Posts	Location: Zug	    Ooops, wrong dates it's 15th-19th July.... glad that was spotted before I hit confirm on the flights  	a reputation beyond repute	Join Date: May 2009	Groaned at 56 Times in 37 Posts	Pet Sitting Network - Questions and Comments	NSchulzi	Posts: 2,429
12	04.01.2017, 09:58	Forum Legend	Thanked 16,111 Times in 5,288 Posts	Location: SZ	"    Wow, the system has reached Switzerland? We used to have a parrot in Ecuador, it couldn't fly and liked sitting in the palms in the garden (we had to put it on it and pick it up again). One day it was gone .... a few ""friendly"" guys came along and claimed they found it (somewhere, where it couldn't possibly have gotten to  ) and they would happily sell it back to us! Well, my stepmother went for it, telling them straight, that should the parrot ""run away again"" we would not be interested in getting it back. Didn't happen again. 
(Not suggesting you should do that with your dog though  )
		"	a reputation beyond repute	Join Date: Sep 2006	Groaned at 18 Times in 17 Posts	Almost frozen puppy found abandoned in SG	meloncollie	Posts: 7,687
13	12.09.2016, 11:57	Forum Veteran	Thanked 457 Times in 182 Posts	Location: Bottom of garden with fairies	" 
			
			I do the opposite of free feeding, food only comes from me, I decided when and how much. But nonetheless the dogs do not get meals in a bowl, they eat throughout the day.   
Every piece of kibble is a reward.    
Each morning the dog's ration for the day is measured out and goes into my training treat bag. A pocket will do if you don't want to go for the 'doggie bag lady' look.    
Then as we go about our day, frequent short training sessions, inside and out, as well as on our walks and during our play and quiet times together - because every single interaction with you is a training event - the dog is rewared with a piece of kibble every time he does what I ask.   
This form of feeding works well for us as:   
1. The dogs learn quickly that I am the source of good things. This builds that oh-so-important bond, and quickly.   
2. The more they do as I ask, the more good things come their way. Paying attention to mum = good things happen. Light bulb moment!   
3. A young pup has a lot o' learnin' to do. Rewarding the small steps towards the larger goal (in training speak, shaping) repeated the umpteen thousand times necessary for a puppy to cotton on to the concept, means lots of little rewards. A puppy would soon balloon into a beach ball if she got both meals and training rewards. So why not dispense with the bowl altogether and make all food a reward?    
4. I know exactly how much as been eaten, I am in control of portions and timing. But as we eat small amounts throughout the day I have minimized the risk of gobbling that might lead to bloat*. Because I am in control of when my dog eats I time eating and exercise accordingly. (With free feeding you might miss that your pup has just eaten as he takes off for high speed Zoomies around the garden.)     
This has worked well for mine over the years, balancing the amount of food given while keeping training motivation high via rewards.        
* Be aware that there are other causes of bloat as well. Owners of deep chested dogs are most likely to be affected. But bloat can happen to any dog of any size or breed, all dog owners should be aware of the condition, symptoms, and prevention.     
ETA:   
There are many different ways to approach feeding, not really advocating one over another. (Other than feed nutritionally sound food, in appropriate amounts, keep your dog a healthy weight.) One should choose an approach that is right for the individual dog, but above all, as with every thing one does with one's dog, one should understand  one is doing what one is doing, understand the positives and negatives, and make informed choices.   
Thus endeth the sermon.   "	an excellent reputation	Join Date: May 2010	Groaned at 1 Time in 1 Post	Dog agility or Saluki / Greyhound running tracks	Fidgety	Posts: 506
14	02.01.2017, 12:32	Newbie	Thanked 1 Time in 1 Post	Location: Stäfa, Zürich	" 
			
			Hide it in some lasagne bolognese.    
Tom
		"	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	What do I need to do in order to import my horse into Switzerland from the UK?	KlingonTranslator	Posts: 4
15	20.12.2016, 17:04	Junior Member	Thanked 29 Times in 15 Posts	Location: N/A	"    Thats possible.   
Here is the link to those dog trainers that have permission by VETA Zurich to train the mandatory courses like puppy class, ""Junghundekurs"", ""Erziehungskurs"".        
Thanks, meloncollie, for the recommendation.
		"	no particular reputation at present	Join Date: Sep 2012	Groaned at 2 Times in 2 Posts	English speaking dog trainer	Nalpac90	Posts: 78
16	21.12.2016, 12:33	Junior Member	Thanked 4 Times in 3 Posts	Location: zurich	"    More cats without collars than with around here.  Farm cats are unlikely to have any, but doesn't mean they're homeless.  Ours did have a collar, but yes she lost it somewhere several times over the years and I had to buy new ones.    
So now you know the truth you can tell your friends, can't you.
		"	no particular reputation at present	Join Date: Dec 2007	Groaned at 0 Times in 0 Posts	Where to get a cat ?	Elee	Posts: 54
17	02.06.2012, 11:28	Forum Legend	Thanked 6,167 Times in 2,917 Posts	Location: AG	" 
			
			Updating my own thread.....   
I never went to the open house.   
Sadly we have been to the pet crematorium in Seon twice in the past 3 months, most recently on Saturday.   
The staff are really caring and helpful. The website is not in English and even in the German version and in the brochure there is information missing which I thought I should share.   
If you bring your deceased pet yourself, you can have a paw print set in clay made to take with you. We thought this was a lovely gesture and it was free of charge.   
The particular urn we chose can be hand painted with a photo of your pet. Friends of ours had this done and that is how we learned of it. This service is fee based and it also requires extra time so the urn will not be ready for pickup as early as if it was not painted.   
Lastly, we requested and were given a letter, in both German and English, to present at airport security should we wish to transport the urn in our hand luggage.
		"	a reputation beyond repute	Join Date: May 2007	Groaned at 149 Times in 107 Posts	Open Day Today (June 2) at Tierkrematorium in Seon	Mrs. Doolittle	Posts: 5,437
18	02.12.2016, 19:31	Newbie 1st class	Thanked 7 Times in 4 Posts	Location: Zürich	"    ACTUALLY, it serves the newbie-bashers here right to have found their master. LOL.
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Where are dogs allowed to pee?	Kipsu	Posts: 10
19	null	null	null	null	"   Type of animal: 2 dogs / 1 cat 
Breed: Black labs / Minx 
Age of animal: Dogs: 6 and 7, Cat: 14 
Animal spayed: yes to all   
House / Apartment: Small house/apartment attached to a larger house 
Garden: yes, small, but fenced in 
Any other pets: yes, fish. 
Your location: Saint Blaise - Neuchatel    
Looking for someone to watch my 2 black labs on occasional 3 day weekends this summer and over 4 days in September.     
Tonya
		"	null	null	null	Pet Sitting Network	guest	null
20	15.12.2016, 12:15	Newbie	Thanked 1 Time in 1 Post	Location: Vevey	" 
			
			So, on Sunday I came with my dog to Switzerland. on Monday I have registered the dog at the tax office (since in Bern canton you have to pay 100 CHF annually) and today we went to veterinary office.  
and it was 106 CHF - they have charged me consultation, check up, entrance of the information into swiss system and two pills since they think that in Croatia we have some kind of a heart worm and my dog has to take the pill now due to it. of course, I have called back home, and they have said that we do not have that disease in Croatia but nothing I can do now. 
the good thing is that here vaccination against rabies is once every three years (back home in Croatia is every year) and there are no ticks here until april so less chemicals on my dog
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Moving with dog, Vevey	AndiR	Posts: 7
21	19.12.2016, 21:04	Newbie 1st class	Thanked 23 Times in 4 Posts	Location: Utila	" 
			
			A big question- as although Switzerland is small- it has a great variety of different ecosystems, geology, altitude, lake regions, peat bogs, different type of mountains at diff. altitude, with the Jura being lower and mainly limestone, and the Alps with a lot above tree level and granit, and other rocks-  and very distinct flora and fauna depending on that.
		"	earned some respect	Join Date: Sep 2014	Groaned at 1 Time in 1 Post	flora and fauna of CH	Monica_Utila	Posts: 19
22	13.06.2015, 13:26	Senior Member	Thanked 470 Times in 220 Posts	Location: North	"     
All dogs love water!
		"	earned the respect of many	Join Date: Jun 2013	Groaned at 8 Times in 5 Posts	Dogging! Well, puppying!	Fish Paste	Posts: 407
23	28.10.2016, 06:17	Newbie 1st class	Thanked 17 Times in 5 Posts	Location: Bülach	" 
			
			Open plan kitchen/living area I assume.  Otherwise, simply shut the connecting door when you're not in the kitchen.    
What other cat climbing/lounging items do you have in the house?  One of those cat trees or something similar?  Some cats do like to be up above observing those below them so if you don't have anything like that then get one.  That may solve the problem.
		"	no particular reputation at present	Join Date: Oct 2016	Groaned at 0 Times in 0 Posts	Keeping cats off the counters	dsbigler	Posts: 10
24	14.12.2016, 20:15	Member	Thanked 268 Times in 113 Posts	Location: Aegeri	" 
			
			She looks lovely, and she had a good long life with you. She's in your heart.
		"	earned some respect	Join Date: Jan 2012	Groaned at 0 Times in 0 Posts	In Memoriam	countrybumpkin	Posts: 166
25	19.10.2016, 12:42	Forum Legend	Thanked 22,599 Times in 10,195 Posts	Location: Neuchatel	" 
			
			H nearly had a heart attack when paying the bill - but hey ho. Thank goodness our great local vet is ... in France   - I promised to repay him when we are in UK (but hopefully he will ahve forgotten by then   )...He was spade (sp?) at the same time as there was no bad infection present- I thought it was very reasonable (210E).
		"	a reputation beyond repute	Join Date: Sep 2010	Groaned at 386 Times in 287 Posts	A happy hoppy ending?	Odile	Posts: 19,655
26	13.05.2015, 22:12	Junior Member	Thanked 128 Times in 44 Posts	Location: vaud	"    That's great news. I know of too many cases where approval was sought and turned down.    
I have visited a lot of kennels over the years and would be happy to offer any input or suggestions if you are looking for any. I also have a ton of dog beds and related items for sale, all washable, which I think is mandatory for a kennel. You can always send me a PM for details. I see no problem in saving some money and buying used items and of course I can provide a receipt. Best of luck with your project.
		"	earned some respect	Join Date: Apr 2009	Groaned at 0 Times in 0 Posts	Advice re planning application for boarding kennel	irishgirl	Posts: 73
27	07.12.2016, 14:26	Forum Legend	Thanked 5,562 Times in 1,964 Posts	Location: Zurich	" 
			
			I would just like to add one more hospital to the list of facilities where emergency care is available.       , Muhenstrasse 56, 5036 Oberentfelden 
For emergencies there is a special number:  062 737 80 07     
website:   "	a reputation beyond repute	Join Date: Dec 2006	Groaned at 116 Times in 74 Posts	Tierspital ZH temporarily NOT admitting cats and dogs	Kittster	Posts: 3,788
28	15.01.2015, 16:51	Senior Member	Thanked 249 Times in 87 Posts	Location: Vevey	" 
			
			Well he is still hanging in there. He has continued to lose weight and now losing muscle as well which is not good. He is down to 8.7 kg   The steroids for the autoimmune haemolytic anaemia seem to be working as his red blood cells are creeping slowly towards normal but his white blood cells are as high as ever. His liver function is good but he is incredibly thin so he's on a special diet now. There was talk of him going to the animal Hospital at Bern this weekend but I don't see the point. The vet is being really really good but the dog is very distressed everytime he goes as he needs to have blood taken every time injections of vitamins and yesterday he had his back passage examined and two enormous long swabs up his nose. He was hysterical and subsequently I wasn't much far behind him.  But the red blood cells improving did give as a glimmer of hope and the vet agreed that there was no point in sending him to the hospital when I pointed out that the only thing left was to x-ray and scan him to see if something going on in his chest and if there is this nothing that they can do so all the while that he is happy we are going to keep him at home.
		"	an excellent reputation	Join Date: Jun 2014	Groaned at 7 Times in 7 Posts	CT scan on dog - anyone had one?	MaybeeSkint	Posts: 257
29	06.12.2016, 13:23	Newbie	Thanked 0 Times in 0 Posts	Location: Bern	" 
			
			Hi all, 
looking for a dogs are in Bern and around where I can leave my two little dogs off leash and they can run around with other dogs.
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	Dogs area Bern and surroundings	FTettamanzi	Posts: 6
30	05.12.2016, 11:01	Junior Member	Thanked 65 Times in 19 Posts	Location: Zurich	" 
			
			All together, but AFAIK only one section of the Allmend is open for non-leashed dogs. I think it's Allmend III west of Saalsporthalle.
		"	earned some respect	Join Date: Oct 2016	Groaned at 8 Times in 7 Posts	Dog Park/Off the lead	Nelly123	Posts: 88
31	02.12.2016, 10:50	Forum Veteran	Thanked 2,829 Times in 1,293 Posts	Location: Küsnacht, Switzerland	" 
			
			Now it's got a bit cold, our cats are spending a little more time indoors. They love underfloor heating.   
Cats have a fur coat, which you may have noticed is fluffing up for winter, so they don't worry about the cold.
		"	a reputation beyond repute	Join Date: Nov 2015	Groaned at 46 Times in 42 Posts	Winter Care For Cats	Blueangel	Posts: 1,116
32	30.11.2016, 11:55	Newbie 1st class	Thanked 18 Times in 8 Posts	Location: Verbier	" 
			
			I was going to put the name and contact number for the person that runs the adoptions in Switzerland but I wasn't sure it was permitted in the forum.    
This is a non profit organisation, based in France which aim is to build a net between France, Switzerland and Belgium to find homes for Border Collies in need of a new start. All dogs are adoptable in Switzerland and Belgium and BLC will organise carpools to get the dog to you if you are unable to travel to pick it up. The organisation doesn't have premises but a network of foster families that look after the animal while giving them the basis on education and socialisation till they find a forever home.    
All the information is on their facebook page (in french) and their website (also in French) 
The person that runs the Swiss adoptions speaks very good English.            
I have just taken on one of their dogs, Instead of adopting her I have opted for fostering with the intention of adopting. She has been with us for a month and is about to be officially adopted.
		"	no particular reputation at present	Join Date: Nov 2009	Groaned at 0 Times in 0 Posts	Looking for foster families for Border Collies	CONCHELA	Posts: 22
33	13.08.2016, 15:19	Newbie 1st class	Thanked 11 Times in 3 Posts	Location: Bern	"    If he is small I think some airlines will allow him to fly in the cabin with you   As long as he is ""hand luggage"" sized and you pay a fee.
		"	no particular reputation at present	Join Date: Dec 2007	Groaned at 0 Times in 0 Posts	For furry Canadian immigrants.	etoilech	Posts: 14
34	16.11.2016, 14:27	Senior Member	Thanked 324 Times in 193 Posts	Location: Zurich	" 
			
			I think Chris Christie had his claws removed a while back over a traffic issue on a famous bridge....
		"	considered knowledgeable	Join Date: Dec 2013	Groaned at 8 Times in 6 Posts	New Jersey bans declawing	drkarthiks	Posts: 460
35	03.08.2014, 10:21	Forum Veteran	Thanked 1,164 Times in 442 Posts	Location: Kilchberg ZH	" 
			
			Soooo pleased to hear Kuma's good news!
		"	a reputation beyond repute	Join Date: Sep 2009	Groaned at 23 Times in 8 Posts	Surgery for dog's knee ligament tear ??	Susan57	Posts: 886
36	26.10.2016, 20:02	Forum Veteran	Thanked 2,171 Times in 847 Posts	Location: Nyon	" 
			
			How are the fish doing ?   
Very cool project and great idea.   
Feeding wise, what goes in comes out so to speak so little is generally better.    
The temp will anyway be room temp so probably 22º or there about, not really cold but less than is considered as tropical at least.   
Must admit that pellets man be better for goldfish as they'll more likely eat the fallen pieces on the substrate vs flake as it looses it's flavour and attractiveness very quickly but goldfish are hardly fussy so they'll probably eat anything.   
You just need a picture with a cat in front, that would be real cat TV !
		"	a reputation beyond repute	Join Date: May 2013	Groaned at 61 Times in 33 Posts	Who knows about goldfish ?	John_H	Posts: 1,853
37	07.04.2009, 15:22	Junior Member	Thanked 12 Times in 6 Posts	Location: Vevey, Vaud	" 
			
			We've taken our dog to Italy a couple of times and never had a problem with going through the border, we've just driven straight through.  They've never stopped us and asked for any paperwork, but I have always taken her passport and other paperwork with us just in case.
		"	no particular reputation at present	Join Date: Aug 2008	Groaned at 9 Times in 4 Posts	Travelling to Italy with my dog. Good idea?	pinkkann	Posts: 36
38	12.11.2016, 17:07	Newbie 1st class	Thanked 1 Time in 1 Post	Location: Zürich	"    Fair enough, then just decide where you want to stop, use any of the main hotel sites and select ""pets allowed"" as an option.  I always contact the hotel we use direct to double check they are happy for us to arrive with a dog.
		"	no particular reputation at present	Join Date: Jun 2010	Groaned at 0 Times in 0 Posts	Pet moving	yann100	Posts: 13
39	15.10.2016, 19:01	Junior Member	Thanked 75 Times in 15 Posts	Location: zurich	" 
			
			These Swiss organizations    and   help with the adoption process of stray dogs from Eastern Europe.   
If you want to donate food or money toward the care of Romanian animals, this is the official animal protection   in Romania and   are animal organizations  in Romania and abroad. If you scroll way down you will find links to articles in Ro and Engl on animal protection, veganism, environment etc.
		"	considered knowledgeable	Join Date: Nov 2009	Groaned at 0 Times in 0 Posts	Romanian Dogs	Florida_girl	Posts: 44
40	07.11.2016, 10:37	Junior Member	Thanked 11 Times in 7 Posts	Location: Zürich	" 
			
			This thread may be helpful to you:       "	no particular reputation at present	Join Date: Feb 2012	Groaned at 0 Times in 0 Posts	Pet sitting support group	insaf	Posts: 37
41	04.11.2016, 09:50	Newbie	Thanked 0 Times in 0 Posts	Location: Montreux	" 
			
			There is an excellent 'pension familial' - a boarding kennel run by a charming lady Marie-Claude Liechti who speaks English fluently, she lives in a pretty farmhouse with heated kennels dotted around the garden, I think she can have 6or 7 dogs (not sure) I have left my terrier, Bobby, with her 4or 5 times a year over the last 9 years. He is really happy there and frankly, a lot healthier when I collect him (they will collect dogs from your home) Mme M-C Liechti, Chemin du Saugy 22, 1806 Saint Legier 0219431512   0794133971 she also offershealthy dog foods, health therapies and education/training. I feel that she has a great knowledge and years of experience with dogs, when Bobby is with her, I know he is in good hands.
		"	no particular reputation at present	Join Date: Nov 2016	Groaned at 0 Times in 0 Posts	Boarding kennels near Blonay	Victoria B	Posts: 1
42	03.11.2016, 01:02	Forum Legend	Thanked 8,755 Times in 4,797 Posts	Location: Zürich	"      +1 for that theory.     
My first thought was the doggy-whining was a mix of "" "" and "" "".
		"	a reputation beyond repute	Join Date: May 2008	Groaned at 170 Times in 145 Posts	A funny thing happened on the way to the theatre tonight	marton	Posts: 7,567
43	17.07.2016, 12:07	Forum Legend	Thanked 9,956 Times in 5,680 Posts	Location: Misery-Courtion	" 
			
			None of ours are that friendly around here.  In fact in all the years we've been here I remember only one that was friendly and that was a very young cat, just a few months past kittenhood.  He didn't mind coming to say hello, but he disappeared after about a year.  Don't know if the owner moved, the cat got run over or what.     
The immediate neighbours have been in and out a few times since the cat turned up so if it belonged to them I'd hope they'd have let him back in by now.  Then again, maybe he crossed their yellow lines once too often and they've thrown him out.    Just kidding.  If he is theirs I'm sure I would have seen it before now.
		"	a reputation beyond repute	Join Date: Jul 2011	Groaned at 173 Times in 137 Posts	Help!  What to do?	Medea Fleecestealer	Posts: 13,857
44	08.01.2016, 20:56	Newbie 1st class	Thanked 11 Times in 4 Posts	Location: Zug	"    Wow Meloncollie - thank you for your detailed and informative post that covered just about every aspect I need to consider. I really appreciate your taking the time and trouble - even going so far as translating the Tierdatenbank search boxes! After hearing your experiences, on the one hand I'm feeling much more optimistic that I will find my pet soon, and on the other I'm daunted at the thought of the application, interview and vetting process - what if I don't measure up?! Suddenly applying for a job seems a cakewalk in comparison. Your advice has certainly prepared me for what lies ahead and I will try a multi-pronged strategy to minimize the chances of rejection. I hope to get back with good news soon - thank you so much for your support.
		"	no particular reputation at present	Join Date: Jan 2015	Groaned at 0 Times in 0 Posts	Looking to rescue one or two dogs	sbond	Posts: 23
45	25.10.2016, 21:53	Newbie 1st class	Thanked 10 Times in 7 Posts	Location: Zurich	" 
			
			It turns out that my roommie needs to work during Christmas so my baby doesn't need to move   thank you everyone for your help!
		"	no particular reputation at present	Join Date: Aug 2016	Groaned at 0 Times in 0 Posts	Cat sitting over Christmas (Zurich)	JaneF	Posts: 16
46	25.10.2016, 14:21	Forum Legend	Thanked 22,599 Times in 10,195 Posts	Location: Neuchatel	" 
			
			I think the first question to answer is if a 3 legged cat can use a cat door. Perhaps a temporary test installation just made with a sheet of hard styro with a cat door fitted to it would help answer the question.
		"	a reputation beyond repute	Join Date: Sep 2010	Groaned at 386 Times in 287 Posts	Setting catflap into a double glazed window?	Odile	Posts: 19,655
47	08.08.2015, 15:20	Forum Legend	Thanked 3,545 Times in 1,803 Posts	Location: here	" 
			
			Our three legged neutered cat is called Minou, or Hoppy and he is definitely one friend more <3
		"	a reputation beyond repute	Join Date: Feb 2012	Groaned at 51 Times in 42 Posts	One limb less - but one friend more.	glowjupiter	Posts: 3,534
48	23.10.2016, 21:54	Junior Member	Thanked 4 Times in 3 Posts	Location: zurich	" 
			
			Sent pm
		"	no particular reputation at present	Join Date: Dec 2007	Groaned at 0 Times in 0 Posts	Anyone can look after my little dog for 3 days?	Elee	Posts: 54
49	01.09.2016, 09:07	Forum Veteran	Thanked 1,098 Times in 602 Posts	Location: Best City, Greatest Nation	" 
			
			Oooo, that's awesome! Thanks for sharing!   "	a reputation beyond repute	Join Date: Aug 2010	Groaned at 194 Times in 107 Posts	Apps for animal lovers..	CathHarmony	Posts: 1,318
50	20.10.2016, 14:17	Newbie	Thanked 0 Times in 0 Posts	Location: Zurich	"    As cats have the much better equipped for raw meat than humans (because shorter, among possibly other factors) digestive system, I don't think this is necessary.    
YMMV of course, OP.
		"	no particular reputation at present	Join Date: Oct 2016	Groaned at 0 Times in 0 Posts	New kitten issues	ADR	Posts: 2
51	17.10.2016, 18:27	Member	Thanked 237 Times in 96 Posts	Location: Tuggen SZ	" 
			
			My cat lived to 19. She was rather incontinent in the end which was a bit frustrating, but she did have a lot of love still to give - we lived 2 years with the constant drip surprise (perhaps the reason I have a trauma with shoes lying around instead of being inside a wardrobe).   
Hope your kitty gets well!
		"	an excellent reputation	Join Date: Aug 2006	Groaned at 1 Time in 1 Post	incontinence in older cat	caz	Posts: 248
52	19.10.2016, 01:41	Junior Member	Thanked 26 Times in 17 Posts	Location: VD	" 
			
			Just wondered if there are any reef aquarium keepers lurking around the forum. Admittedly reef aquariums are particularly mobile so perhaps with so many mobile people it's not such a popular hobby. There's 7 English speaking reef keepers around GE & VD that share knowledge and experiences together, all are expats except 1 so it's a very eclectic mix.   
Always happy to meet up and share experiences and knowledge with anyone out there, or happy to advise any beginners looking to start in the hobby.   
All the best     
Ridgeway
		"	no particular reputation at present	Join Date: Sep 2007	Groaned at 1 Time in 1 Post	Any Reef Aquarium keepers here ?	Ridgeway	Posts: 70
53	08.10.2016, 14:25	Newbie 1st class	Thanked 0 Times in 0 Posts	Location: Zurich	"    Just to emphasize:   
Although the federal SKN will no longer be required, please keep abreast of changes to cantonal dog law. Now that the federal government has said it no longer has any interest in promoting canine education abd safety, there seems to be much talk of the various cantons putting stronger measures into place.    
We tended to emphasize the federal law in discussions here on EF as that was one constant - but now we need to keep cantonal law in the forefront.    
And if I could add a plea:   
I would urge all dog owners to keep taking classes voluntarily - especially foreigners, both long term residents and newcomers to Switzerland.  I fear that having abandoned the SKN, the next serious incident involving a dog will result in more draconian measures - and you know if a foreigner is involved it will be worse for us all.   
As outsiders to Swiss culture, many of us are taken by surprise by 'Swiss canine norms'. Expectations are indeed different here, not knowing or following those norms will hurt your dog. Fines for allowing your dog to piddle on common grassy areas, barking at noon, restrictions on leaving your dog alone in your flat, to name a few differences - and of course there is a difference in the level of training expected.   
Once you settle in, please take a dog class if only to learn what your neighbors will expect of you. Starting on the right foot (and paw) will make it much easier on you and your dog.   
There are many good Hundeschule and many different types of classes offered, from basic training to Familienhund to a wide variety of dog sports to special interest courses.  Classes are offered in many different languages, use this hobby as a way to augment your German/French/Italian classes. Or if you prefer, take classes in English -  for instance, EF member Cherrry Tree offers these.    
I am saddened that the SKN is no longer required, and having lived through the witch hunt that followed the Oberglatt tragedy, I fear that backsliding on the part of Swiss dog owners will see those dark days return.   
Not to mention - taking classes is IME the easiest way to find your feet and make friends in your new home. A good Hundeschule can be a 'soft landing' for newcomers to Switzerland.   
/sermon   "	no particular reputation at present	Join Date: Jan 2014	Groaned at 0 Times in 0 Posts	Apartment hunting and dogs	londonCH	Posts: 12
