	date	exp	groaned	location	post	reputation	since	thanked	thread	user	user_posts
12	08.01.2017, 18:32	Newbie	Thanked 0 Times in 0 Posts	Location: england	" 
			
			There are some special offers for non residents. But must be purchased before arrival   "	no particular reputation at present	Join Date: Jan 2017	Groaned at 0 Times in 0 Posts	Rail Travel	robbsy	Posts: 2
13	11.03.2016, 13:13	Newbie 1st class	Thanked 9 Times in 5 Posts	Location: Bern	" 
			
			Why is it that when someone asks an honest question on this forum, there's so much $ bashing ? Is there some subliminal pi$$ing contest going on here ? This guy wants a bit of information (possibly some consolation) and people are taking the mickey because he had a nice car ? Sounds really unpleasant. 
I was asked a question about my rental budget and got a similar reply ""you'll do ok on your xxxk CHF a year salary"". 
Personally I feel sorry for anyone who has an accident (scary), loses their means of transport (inconvenient), and has to deal with a nasty legal situation afterwards. 
Anyone here heard of compassion? Sympathy? Or are you all just weighing your personal wealth against each other? 
GET A GRIP! 
To the guy who posted this to his 'friends on the forum', I hope you're ok. Don't grieve over the material stuff (replaceable), and try not to fret over the legal business. If they're going to fine you, they will. Glad you're in one piece ...
		"	annoyed a few people around here	Join Date: Apr 2014	Groaned at 16 Times in 3 Posts	Crashed the car and of top I get a fine?? Please help	tekaefixe	Posts: 20
14	Yesterday, 09:36	Forum Legend	Thanked 1,180 Times in 758 Posts	Location: Zürich	" 
			
			The other week I forgot to purchase my ticket when I was on the train for the add on part of my journey (I have a ZVV Bonus pass but live 2 stops outside of the zone) and didn't do it until I had passed the station.   I was told by the conductor that as I hadn't bought it before it left the station (first station of the add on section) then I was liable for a fine.  She let me off this time but said the ticket does show as invalid on their system.
		"	m	Join Date: Oct 2007	Groaned at 386 Times in 203 Posts	The ZVV app		Posts: 3,763
15	28.12.2016, 16:57	Junior Member	Thanked 6 Times in 3 Posts	Location: Bern	"    thank you for your useful information. I will care about these things..
		"	no particular reputation at present	Join Date: Oct 2013	Groaned at 0 Times in 0 Posts	Having Insurance and Getting a Plate	unbalanced	Posts: 70
16	09.01.2017, 12:04	Junior Member	Thanked 97 Times in 21 Posts	Location: Lachen	" 
			
			thank you all! it is very helpful! much appreciated   "	earned the respect of many	Join Date: Nov 2009	Groaned at 6 Times in 3 Posts	gondolas and funiculars included in Swisspass / GA	GMarple	Posts: 63
17	13.09.2009, 18:06	Newbie	Thanked 0 Times in 0 Posts	Location: Basel	" 
			
			Driving a Swiss car through France I have been flashed many times and have never seen a ticket yet...However a few months ago I was pulled by a cop on a bike..He escorted me to the next town where there was an ATM and made me cough up 180.00 there and then...
		"	no particular reputation at present	Join Date: Sep 2009	Groaned at 0 Times in 0 Posts	Speeding in France (Resident in Switzerland)	Baselr	Posts: 5
18	30.12.2016, 22:00	Junior Member	Thanked 4 Times in 4 Posts	Location: ZH/SZ	" 
			
			Thanks for your update on the RS4. It is a bit unexpected as I would have expected it to be very good in the snow. So you can have too much power..
		"	no particular reputation at present	Join Date: Jan 2015	Groaned at 0 Times in 0 Posts	Audi S4 review + VIN decoding	Maciej	Posts: 40
19	09.01.2017, 11:31	Member	Thanked 60 Times in 36 Posts	Location: Olten	" 
			
			Marktkauf is right on the border.  The tram stop going there is in Germany, the tram stop coming back is in Switzerland.   
A few weeks ago the rules change, and the GA is no longer valid once the tram leaves Switzerland.  So you either need to buy a ticket for one stop, or just risk it on the way out.  On the way back your GA is fine.   
I don't know what type of ticket you need to buy as I've never had a GA.  For people without a GA it's a 2-zone ticket (half-tax valid); you need something called a Connecting Ticket for Fr.2.70.  If you were going right into Weil, the price would be the same but on the way back you'd need to buy a one-zone RVL ticket to get you back to the border where your GA would then take over.      "	earned some respect	Join Date: May 2013	Groaned at 1 Time in 1 Post	Ticket for Weil am Rhein on Tram 8 from Basel.. have GA	camembert	Posts: 154
20	04.11.2016, 07:38	Newbie 1st class	Thanked 1 Time in 1 Post	Location: Ireland	"    Oy. Good point. That would work out to well more than the value of the car, which would be a bit silly on the grand scale of things. Might as well do as you suggest and look for a newer replacement. It's just my bulk-hauling combi anyway.   
Thanks for the advice   "	no particular reputation at present	Join Date: Sep 2015	Groaned at 0 Times in 0 Posts	Recommendations on mechanic/garage in Dübendorf/Wallisellen area	Frodeno	Posts: 13
21	08.01.2017, 19:20	Junior Member	Thanked 6 Times in 6 Posts	Location: Ittigen bei Bern	" 
			
			I'm looking to rent a car for 4 week.  
is there a catch with autoeurope.ch since the prices there are half the prices on all other site I have looked at?
		"	no particular reputation at present	Join Date: Nov 2013	Groaned at 0 Times in 0 Posts	autoeurope.ch	zuzi666	Posts: 49
22	08.01.2017, 17:00	Newbie	Thanked 0 Times in 0 Posts	Location: Switzerland	" 
			
			Law regarding admission to traffic for any vehicle is SR 741.41   (no English version, you can change language in the following links at top right to French and Italian if that helps)   
Scooter with an electro motor are covered in  
They are classified as Motorfahrräder (Motor bicycles). The classification is important for traffic rules. 
They may have up to 2kW (that is 2000 Watt), a top speed of driven on its own of 20 km/h, or may give electro support up to 25 km/h.   
Special traffic rules that apply to them (apart from the normal, like priority from the right, red lights, etc.)   
No need to wear a helmet.   
No need for a license    
Minimum age is 16 years old.    
Side walk is strictly off limits and for pedestrians and users of vehicle like means of transport only.   and   (actully that is a general rule, but you asked).   
You are allowed to use cycle lanes and paths. You cannot use pure footpaths   and    
You must use the cycle lanes and path when it is next to a road.    
Where you can drive:     
Where you are not allowed to drive:     
PS: Vehicle like means of transport are skateboards, roller and in-line skates, motor-less scooters, small kids bikes, dandy horses, etc. More or less anything with wheels and no motor, safe bigger bicycles and wheelchairs.    "	no particular reputation at present	Join Date: May 2016	Groaned at 0 Times in 0 Posts	electric scooter - rules?	der	Posts: 2
23	07.01.2017, 16:34	Junior Member	Thanked 6 Times in 6 Posts	Location: Ittigen bei Bern	"    You can Drive in CH, you should get a replacement within a couple of days.
		"	no particular reputation at present	Join Date: Nov 2013	Groaned at 0 Times in 0 Posts	Swiss driving licence	zuzi666	Posts: 49
24	06.01.2017, 23:57	Member	Thanked 21 Times in 17 Posts	Location: Uster	" 
			
			I would pay a lot for something similar to Ancona.   
The summer trip south is hell
		"	made some interesting contributions	Join Date: Sep 2008	Groaned at 1 Time in 1 Post	Car on Train to Vienna	maypril	Posts: 105
25	18.12.2016, 00:29	Newbie 1st class	Thanked 4 Times in 2 Posts	Location: Zurich	"    It's actually slightly more complicated depending if it's an old paper license or a newer EU one with 10 / 15 year validity.   
The rules for Belgium are here :-     
Many people will have renewed a UK license whilst living abroad, because they have an 'address', the renewal would have been fraudulently obtained as they are not resident at the address although they declare they are. It could turn nasty if anyone ever investigated.
		"	annoyed a few people around here	Join Date: Apr 2012	Groaned at 5 Times in 3 Posts	Exchanging UK to Swiss license after 8 years	vicks9822	Posts: 13
26	11.08.2016, 10:07	Newbie 1st class	Thanked 3 Times in 3 Posts	Location: Zurich	" 
			
			I actually just exchanged GB license for CH one last week.  I went down the police MFK office last Thursday.  They took by GB license and gave me a stamped sheet of paper saying I could drive in CH for the rest of the week (until 7th).  They mentioned that I could only drive in CH.   
I received my new CH license in the post on Monday or Tuesday.   
I assume you would be fine, only issue I could see is if you have an accident and the insurance try to claim you are between licenses and as such are not covered.
		"	no particular reputation at present	Join Date: Sep 2011	Groaned at 0 Times in 0 Posts	Driving no Licence	kilns	Posts: 25
27	16.12.2016, 02:28	Newbie	Thanked 0 Times in 0 Posts	Location: Cyprus	"    Ah the bonfire of the Cayennes
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 3 Times in 1 Post	Company Car	Dionloco	Posts: 6
28	06.01.2017, 10:00	Member	Thanked 76 Times in 52 Posts	Location: Nyon	" 
			
			Impossible to fit chains if you have low profile tyres though - oder?
		"	earned some respect	Join Date: Oct 2014	Groaned at 4 Times in 3 Posts	Snow socks	bowlie	Posts: 167
29	26.02.2014, 01:47	Forum Legend	Thanked 5,477 Times in 2,138 Posts	Location: CH	"    The update is that a close friend bought a lightly used car from this firm and he is totally satisfied : Great value and carefree driving until now. All was exactly as promised.
		"	a reputation beyond repute	Join Date: Feb 2010	Groaned at 80 Times in 68 Posts	Do you know this car dealer: CISCO Group AG?	MrVertigo	Posts: 3,122
30	05.01.2017, 18:20	Newbie 1st class	Thanked 3 Times in 2 Posts	Location: Meilen	"    No.      Yes.   
Tom
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	CH Driving Licence	Kamiontheroad	Posts: 10
31	03.01.2017, 18:14	Member	Thanked 17 Times in 12 Posts	Location: the middle of lake geneva	    If its the Swiss Pass, also note that it automatically renews unless you've canceled in writing, in advance.   	no particular reputation at present	Join Date: Aug 2014	Groaned at 4 Times in 4 Posts	SBB pass,  a dumb question	josquius	Posts: 154
32	29.12.2016, 20:27	Forum Legend	Thanked 4,245 Times in 2,087 Posts	Location: Europe	"    Volvo, VW etc. 
I actually had some doubts about posting the picture as the uniforms indeed seem to be like 1950s race outfits.
		"	a reputation beyond repute	Join Date: Dec 2010	Groaned at 487 Times in 297 Posts	Is my car sufficient for driving in Holland ?	Today only	Posts: 3,902
33	26.12.2016, 20:51	Junior Member	Thanked 5 Times in 5 Posts	Location: Groningen	"    The part you will not be driving on.    
Tom
		"	become a little unpopular	Join Date: Dec 2016	Groaned at 11 Times in 5 Posts	Can 75 hp 1.2 TDI car take a moutain route ?	jaw	Posts: 56
34	null	null	null	null	" 
			
			You can also pay directly with your phone via an app -->  ...   
You can have it on Apple and Android --> APL Free Flow   
Search on Apple Store or on Google play for APL Free Flow
		"	null	null	null	Travel advisory (new toll road) Northern Italy Milano Region	guest	null
35	03.01.2017, 12:47	Newbie	Thanked 0 Times in 0 Posts	Location: Laussane	"    If the car has Swiss plates, the insurance didn't finish.    
Tom
		"	no particular reputation at present	Join Date: Sep 2013	Groaned at 0 Times in 0 Posts	Short Term Car Insurance (Swiss Plates)	Alittlec	Posts: 4
36	29.12.2016, 09:40	Junior Member	Thanked 5 Times in 5 Posts	Location: Groningen	"    Then why do you try to throw it all away by speeding?      Read above.
		"	become a little unpopular	Join Date: Dec 2016	Groaned at 11 Times in 5 Posts	Dutch licence being flashed for a small fine, what should I do ?	jaw	Posts: 56
37	29.12.2016, 17:50	Newbie 1st class	Thanked 2 Times in 1 Post	Location: Basel	" 
			
			Hi - i'm not sure how much but the merchant that accepts REKA also pays some fee (just like with credit cards). So on one hand, the employer gives you a discount. At the same time, the merchant also pays some fee.
		"	earned some respect	Join Date: Dec 2014	Groaned at 0 Times in 0 Posts	Basel Abo and Reka: TNW vs BVB	RedRoy	Posts: 13
38	30.12.2016, 14:34	Junior Member	Thanked 6 Times in 6 Posts	Location: Ittigen bei Bern	" 
			
			thank you all!    
I will be smarter next time   "	no particular reputation at present	Join Date: Nov 2013	Groaned at 0 Times in 0 Posts	Missed the train	zuzi666	Posts: 49
39	29.12.2016, 19:58	Forum Legend	Thanked 9,816 Times in 3,297 Posts	Location: Zurich	" 
			
			I pay Billag an annual TV license fee and don't own a car. Can I get money back for never using parking spaces? How will this work after Brexit?
		"	a reputation beyond repute	Join Date: Jun 2008	Groaned at 156 Times in 122 Posts	Parking meter question	k_and_e	Posts: 4,740
40	28.12.2016, 21:47	Newbie	Thanked 1 Time in 1 Post	Location: Bern	" 
			
			In the end, SBB have been very comprehensive and accepted my request for cancellation, ""as a special exception"". 
Thanks to you all for your advices, and my appreciation to SBB for their understanding. I must admit I am positively surprised!
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	SBB HalbTax automatic renewal	fgarcia	Posts: 5
41	27.12.2016, 23:15	Junior Member	Thanked 13 Times in 10 Posts	Location: Zürich	" 
			
			Very helpful   "	slipped a little	Join Date: Jun 2013	Groaned at 4 Times in 3 Posts	Insurance when PRIVATELY importing a car EU to CH	AdrienBe	Posts: 87
42	27.04.2009, 15:22	Junior Member	Thanked 9 Times in 6 Posts	Location: basel	" 
			
			Been using rifendirect both in France & Switzerland for about 7 years. Never any problems the tyres are usually dated only a month or 2 after manufacture. ATU tried to sell me 4 year old winter tires once.
		"	no particular reputation at present	Join Date: Nov 2007	Groaned at 2 Times in 1 Post	buying tires	dreyfalex	Posts: 83
43	22.12.2016, 10:30	Forum Legend	Thanked 1,180 Times in 758 Posts	Location: Zürich	"     I was under the impression that they would refund you the difference if the price went down after you'd booked. However, looking at their website  , that is not entirely true:    I like EasyJet. You get what you pay for, it is after all, just a no-nonsense aerial bus service. Flights can start to be delayed as the day progresses as Assassin has pointed out. I have never been completely let down although it does p1ss me off when I miss the pub on a Friday night.
		"	m	Join Date: Oct 2007	Groaned at 386 Times in 203 Posts	Easy Jet prices		Posts: 3,763
44	03.10.2016, 10:48	Senior Member	Thanked 306 Times in 117 Posts	Location: Esslingen,Egg	    	considered knowledgeable	Join Date: Nov 2008	Groaned at 43 Times in 11 Posts	ZSG surcharge from 11 December 2016	Darcy1	Posts: 276
45	16.12.2016, 22:03	Forum Legend	Thanked 9,958 Times in 5,681 Posts	Location: Misery-Courtion	" 
			
			Well, we got to escape the drama and arrive in CH in one piece. Luckily, I got all pressies & cards posted before the Post Office strike, and thankfully booked flights from Heathrow and not Gatwick which meant we avoided the Southern Rail strike.. flew with BA just as they announced they will have strike disruption. Phew!   
Yes, those damn Brexiteers! I've heard they're also the cause of the recent bird flu outbreak in Lincolnshire.. are the feckers trying to ruin our Christmas dinner?!   
I hope they haven't been fiddling about with the mince pies.
		"	a reputation beyond repute	Join Date: Jul 2011	Groaned at 173 Times in 137 Posts	Possible 48 hour strike action at UK airports 23rd December 2016 - be warned	Medea Fleecestealer	Posts: 13,863
46	22.12.2016, 20:46	Junior Member	Thanked 22 Times in 10 Posts	Location: Zürich	    Thanks, the Dübendorf visit I've already finished, I just still have the ticket valid till tomorrow midday, so I want to reuse it for my trip to Alpamare. Dübendorf is indeed zone 121, I am consulting with that ZVV .PDF quite often nowadays   	no particular reputation at present	Join Date: Sep 2016	Groaned at 1 Time in 1 Post	ZVV zones calculation (Zürich <-> Pfäffikon), with Netzpass 110 and Anschlussbilett	shadysand	Posts: 54
47	17.02.2016, 23:50	Newbie	Thanked 7 Times in 1 Post	Location: Zürich	"    It depends on the income now? HA! I'll get places fast then.
		"	no particular reputation at present	Join Date: Feb 2016	Groaned at 0 Times in 0 Posts	Traffic fine: Need help with letter translation	bokabil	Posts: 7
48	21.12.2016, 09:33	Newbie 1st class	Thanked 7 Times in 4 Posts	Location: Bern	"    This is very useful info and I will include it in my driving licence folder.    
Thank you.
		"	no particular reputation at present	Join Date: Dec 2011	Groaned at 0 Times in 0 Posts	New Licence from scratch	Gerry's Holly :)	Posts: 24
49	26.06.2013, 01:03	Newbie 1st class	Thanked 2 Times in 2 Posts	Location: Zurich	"    got the message, LOL.
		"	become a little unpopular	Join Date: Jul 2012	Groaned at 0 Times in 0 Posts	look for accompany person for a learner driver	oogiant	Posts: 10
50	20.12.2016, 20:21	Newbie 1st class	Thanked 3 Times in 3 Posts	Location: Soon to be Basel	" 
			
			Thanks Fish Paste   
Unfortunately, I'm back in London.  I hope they are as helpful via email.  Will make my life much easier.    
Cheers
		"	no particular reputation at present	Join Date: Oct 2013	Groaned at 0 Times in 0 Posts	Certificate of Entitlement from BS Motorfahrzeugkontrolle	Alixman984	Posts: 24
51	20.12.2016, 13:23	Junior Member	Thanked 46 Times in 13 Posts	Location: Rapperswil, SG	" 
			
			Wow, very nice...thanks for the explanation, I think this is really interesting   will look for more info!
		"	no particular reputation at present	Join Date: Jan 2015	Groaned at 1 Time in 1 Post	Prices Transportantion	flubber03	Posts: 67
52	19.12.2016, 13:34	Junior Member	Thanked 21 Times in 13 Posts	Location: Zurich	"    Same for us with Allianz      We got a magnetic one from Jumbo. Easy to remove when driving in Switzerland.
		"	no particular reputation at present	Join Date: Jun 2015	Groaned at 0 Times in 0 Posts	Documents needed for police spot-check	soswiss	Posts: 83
53	19.10.2016, 12:25	Forum Legend	Thanked 13,450 Times in 5,719 Posts	Location: Basel	" 
			
			New app officially launched today.   
But, iPhone 4 running iOS 7 is not compatible. Old App still on phone but no longer works. Will open but crashes when you try to do anything.    
No way to contact SBB to report problem either.
		"	a reputation beyond repute	Join Date: Oct 2009	Groaned at 246 Times in 157 Posts	Anyone tried the new SBB app?	Phil_MCR	Posts: 11,547
54	null	null	null	null	    No no no.  This is serious discussion about what type of car a normal person should buy so absolutely belongs here.                        	null	null	null	Recommended cars for sale	guest	null
55	14.12.2005, 17:00	Forum Legend	Thanked 720 Times in 373 Posts	Location: Luzern currently	" 
			
			Nubat,   
In your situation I would have handed the plates back the second I was unable to use the bike, thus stopping the charges and any requests for tests. Many bikers hand in their plates for the winter months as they have no intention of using the bike.   
I have ""switch"" plates, that can be freely swapped between two cars. I use an old Rover during Winter and switch the plates to my Lotus, which I only drive on dry roads when there's no salt. That saves quite a lot of money each year, both in road taxes and insurance.   
Of course, the unplated vehicle has to be kept off the road but most places have underground garages. But don't forget to put the plates back on the car you're about to drive, as both I and my wife have done on a few occasions. Luckily we haven't been caught (yet!)   
Ricahrd S
		"	a reputation beyond repute	Join Date: May 2005	Groaned at 4 Times in 4 Posts	Testing a Car (MFK)	Richard	Posts: 2,565
56	16.12.2016, 12:38	Junior Member	Thanked 21 Times in 13 Posts	Location: Zürich	"    Besides the price and maintenance?  
You can control the RPM in each gear. You control when you want to change it and not the car. You can even reduce from 4th to 2nd gear if you want to (hopefully you know what are you doing when doing this kind of reductions in a car).
		"	no particular reputation at present	Join Date: Oct 2015	Groaned at 2 Times in 2 Posts	Cars in CH: Automatic transmission	vmontalvao	Posts: 47
57	26.11.2016, 20:33	Newbie 1st class	Thanked 7 Times in 4 Posts	Location: Baar	"    Were you going the right way in the tunnel?
		"	no particular reputation at present	Join Date: Sep 2015	Groaned at 0 Times in 0 Posts	Randomdly flashed [speed camera]	obli	Posts: 29
58	13.12.2016, 22:44	Newbie	Thanked 0 Times in 0 Posts	Location: Zurich	"    Well, that depends on the risk group the OP is in as well as the specific vehicle... no? It's too much for some 50 year old driving a used Toyota estate, but it might be pretty cheap for an 18 yr old with his Abarth...
		"	no particular reputation at present	Join Date: Aug 2016	Groaned at 0 Times in 0 Posts	Cost of owning a vehicle	clawhammer	Posts: 5
59	14.12.2016, 17:32	Junior Member	Thanked 112 Times in 39 Posts	Location: Basel	"    Thanks a ton aSwissInTheUS!!!
		"	annoyed a few people around here	Join Date: Sep 2014	Groaned at 3 Times in 2 Posts	Driving a car with foreign plates, but what if...	nenadbasel	Posts: 68
60	11.08.2012, 00:08	Forum Legend	Thanked 11,259 Times in 6,388 Posts	Location: Verbier	" 
			
			Thanks for the link Patxi - I spotted those too but have heard from various people in the business that the Wurth stuff is on par with Snap-On in terms of quality - I thought I would take the plunge
		"	a reputation beyond repute	Join Date: Apr 2010	Groaned at 210 Times in 182 Posts	Overpriced Car Parts & repairs	fatmanfilms	Posts: 13,953
61	30.11.2016, 18:15	Forum Veteran	Thanked 792 Times in 312 Posts	Location: Nyon	"    are running a promo on two models of printer where you get a   with the purchase of a printer.      has one of the models on sale for CHF 149. Shown on page 9 top of page.         
Details from HP website.      "	considered knowledgeable	Join Date: Sep 2014	Groaned at 28 Times in 22 Posts	2017 Discounted Vignettes	donpiedro	Posts: 576
62	04.04.2016, 21:47	Newbie 1st class	Thanked 1 Time in 1 Post	Location: Dubendorf Zurich	"       
Hi Ting, would you mind to pm me the instructor's name and contact please? I am also looking for the English speaking instructor, thanks a lot
		"	no particular reputation at present	Join Date: Mar 2016	Groaned at 0 Times in 0 Posts	English driving instructor	Naveena Kumaran	Posts: 16
63	08.09.2016, 12:48	Senior Member	Thanked 89 Times in 62 Posts	Location: Neuchatel	"    I've got 35 notes in my pocket, all of them 1k notes.    
Tom
		"	no particular reputation at present	Join Date: Mar 2014	Groaned at 0 Times in 0 Posts	Buying a used car	Enohzee	Posts: 263
64	01.12.2016, 14:48	Newbie 1st class	Thanked 8 Times in 3 Posts	Location: somewhere	"    Yes for a new one, not so much for a 4 year old one. 
The streets are awash with German and Swedish.   
Even Korean has a better reputation than American!
		"	no particular reputation at present	Join Date: Aug 2015	Groaned at 2 Times in 1 Post	Need an opinion on second hand car	iamtheone	Posts: 13
65	10.03.2015, 21:44	Newbie 1st class	Thanked 5 Times in 5 Posts	Location: Zurich	" 
			
			Not saying this is the norm (and I've never used UBER) but there was an article in the local Lausanne paper this week.  People working for UBER as a full time job, so working 14-15 hours straight trying to make a living.      "	no particular reputation at present	Join Date: Apr 2013	Groaned at 2 Times in 1 Post	UBER in Zurich	Karin M.	Posts: 23
66	29.05.2016, 15:53	Senior Member	Thanked 147 Times in 99 Posts	Location: Basel	"       
Thanks to both of you, that makes much more sense now.  To be fair, I ought to speak better German.  It is good of Mobility to have so much of the website in English at all :-)
		"	earned some respect	Join Date: May 2007	Groaned at 11 Times in 7 Posts	Mobility Insurance when driving in EU	SwissMorgs	Posts: 440
67	28.06.2010, 15:24	Senior Member	Thanked 188 Times in 100 Posts	Location: Zurich	" 
			
			thanks for the links, the problem is that according to the map this Weiterbildungs Zentrum isnt really at the university but somewhere further up the hill near fields/woods. So I m a bit worried that there wont be residential parking and it s too far of a walk from the station.
		"	earned the respect of many	Join Date: Apr 2008	Groaned at 0 Times in 0 Posts	Parking in St. Gallen	njusta83	Posts: 265
68	06.12.2016, 14:31	Forum Veteran	Thanked 1,734 Times in 515 Posts	Location: Zurich	" 
			
			Why bother to salt?   
Well, here is one reason    
Two buses, a pickup truck, a police car and a snow plow.
		"	a reputation beyond repute	Join Date: Aug 2006	Groaned at 37 Times in 24 Posts	When do they start to salt the roads	xynth	Posts: 772
69	07.12.2016, 08:41	Newbie	Thanked 0 Times in 0 Posts	Location: Denmark	" 
			
			you have services to look up owners in some Kantons based on plates       
you have services to look up car details via Vin search    
but not sure how you could match the two, only the relevant authorities could link the two numbers for you - number plate and vin number that appears on the grey card?
		"	no particular reputation at present	Join Date: Dec 2016	Groaned at 0 Times in 0 Posts	License plate data service	wobber	Posts: 3
70	20.02.2015, 15:14	Member	Thanked 173 Times in 68 Posts	Location: Zurich	"     
see previous statement, if you can't afford a good one, you can't afford a cheap one   these are money pits   
ETA you have noticed the car in that ad has been attacked by pine martens?? they have ripped apart the bonnet insulation and god knows what else, don't even dream about buying that car lol
		"	earned the respect of many	Join Date: Feb 2012	Groaned at 4 Times in 4 Posts	Buying a Ferrari	WilliamTell	Posts: 178
71	05.12.2016, 21:48	Forum Legend	Thanked 9,789 Times in 3,946 Posts	Location: Glarus	    my advise: you need them for a friend  	a reputation beyond repute	Join Date: Mar 2009	Groaned at 312 Times in 251 Posts	Car window tinting	bigblue2	Posts: 6,249
